feedback_number	user_feedback	chenyu_and_related
1	#1 User feedback: maybe an introduction to this agent: what goals teachers can use it for (e.g., warm-up activity).	Chenyu's takeaway: To address this, we can record a demo video. For a teacher using the Engage Agent for the first time, a video will pop up providing a walkthrough that explains how to use it. This feedback is not specific to the Engage Agent; we should have this for other agents as well. Regarding priority, this is not urgent.
2	#2 User feedback: Ability to customize or tweak the generated media content based on teacher feedback	Chenyu's takeaway: This is a feature request so that teachers can modify the media content. Basically, we should allow teachers to further interact with the generated media instead of just being given whatever is generated. I think there are two things we can do: 1. The immediate approach is to have a regenerate button so the teacher can regenerate the video if they are not satisfied with it. 2. A more advanced feature is to allow teachers to write their own custom prompts so the videos can include that specific input. Revision plan:  (add regenerate button/teacher prompt in future)
3	#3 User feedback: In strategy recommendation, the UI says it's analyzing student one by one, but there was only one engagement plan. The analysis and strategy recommendation rational can encomposs more students. Right now, it's only referring to one student's answer in the rational, which can be seen as only one student was analyzed for the recommendation. Including more studnets on a high level would be helpful.	Chenyu's takeaway: I think this user is confused because we do show all the students. They just need to click on the expand button to see all the students' analysis. Regarding the rationale part, this tester says to only refer to one student's answer. We can check the reasoning there, but it should include all students. group
4	#4 User feedback: Other than the recommended strategy, if teacher select the other strategies, there should be similar elaborations to articulate this strategy, as the recommended one.	Chenyu's takeaway: I don't think this user's feedback makes sense. Regarding the suggestion to articulate this strategy, perhaps the tester means we need to elaborate on what the strategy is. As a next step for the feedback, we can basically explain what each strategy. When teacher selects other non-recommended strategies, we explain what the strategy is and why it’s not appropriate.
5	#5 User feedback: From a teacher perspective, the distinctions among the four strategies are not entirely clear for every teacher. Is there a formal definition or framework that explains how each strategy is defined and differentiated? From a research perspective, the student questionnaire seems to prompt students to draw on their own experiences to explain their thinking. Given this design, it is not surprising that experience bridging shows the highest percentage. I’m wondering whether this distribution reflects the intended construct being measured, or if it is influenced by how the pre-questions are framed. Is the questionnaire designed this way intentionally, or is the example shaping students’ responses?	Chenyu's takeaway: This is great feedback. I guess the next step is to figure out how distinct those four strategies are, whether they have overlaps or if they are totally distinct. We need to make sure the questions are not biased. Even for the handpicked ones, the quizzes, or our two questions, we must ensure those questions do not lead to specific strategies. Based on our current assumption, they don't, but we need to test this. Then, we may need to run many simulated student responses to see their distribution in order to understand how they map to different strategies. Confirmation bias is the cognitive tendency to search for, interpret, favor, and recall information that confirms one's pre-existing beliefs or hypotheses. Revision: more explanation of teacher self-selected strategy
6	#6 User feedback: So, in terms of content generation, is it just the pictures or videos that teachers are getting from EngageAgent? Will there be additional parts of the lessons that EngageAGent will be helping to create like lesson slides or assessments?	Chenyu's takeaway: Okay, I think for lesson slides, our assessment is out of scope, but we can include this in the future.
7	#7 User feedback: Seem like the current design of content generation is for individual student. I am confused about how teachers could use the individualed materials in real classroom setting. In recommendation stage, I expected to have more student performance report materics, such as whole group report beyond individual student.	Chenyu's takeaway: We do have both, but I think this tester is confused. Maybe we can have a better UI to clarify the individual versus group.
8	#8 User feedback: I think maybe it will be better to move the individual student analysis under the group of strategy. For example, if TA clicks on the "analogy" button, then it will display all students under this category. It may be annoying for the teacher to review the whole list but it's just a small suggestion. Also I'm thinking, do we need to show more about the analysis part to the teacher? Like how and why we classify a student in a certain strategy group.	Chenyu's takeaway: So for our next step, we can think about changing the UI a little bit here and maybe add more explanations. Prof. Zhai: Group students. For each group, we show a description. Summarize.
9	#9 User feedback: On the “Strategy Recommendation” page, the Create engagement plan button should remain disabled until users click Analyze 20 students. When users select strategies other than the recommended one, the plan descriptions should update accordingly. Teacher annotation should appear earlier in the recommendation flow, rather than as the final step. Finally, Content generation should include additional functions—for example, adjusting language difficulty (as originally planned) and allowing users to choose the output language(s).	Chenyu's takeaway: Okay, so there's a bunch of recommended changes. I think we need to think about this a little bit further, as this is useful.
10	#10 User feedback: content looks good to me.	Chenyu's takeaway: TBD
11	#11 User feedback: All of the students' responses can be seen on the same page sho that teacher can see differences and common difficulties.	Chenyu's takeaway: Okay, this could be an enhancement. Ying’s takeaway: Maybe just a dashboard to show it to teachers so they know what’s going on in the classroom. Some synthesized info not the individual ones. They have the options to go to the details.
12	#12 User feedback: Update the strategies based on teacher recommendation.	Chenyu's takeaway: Great, this is also a valid suggestion.
13	#13 User feedback: add some filtered features for the gallery; add a function for teachers to share the generated materials to students (after connected with GENIUS platform).	Chenyu's takeaway: Okay, yeah, those two are also valid. We need a function to share the generated materials with the students.We need to think about this because, right now, this is teacher-facing; they can download the materials themselves. This could be useful for 1on1 engagement. Prof. Zhai’s takeaway: if teacher wants to send different students different materials. They should be able to do that. Pre question (before class) → generate materials before class (before class) → generate videos (before class) → when the class starts, students watch the videos in class (in class) → they ask them to share (in class) TLDR. We are answering how teachers can use this.
14	#14 User feedback: Maybe we could color-code the strategy labels to make them easier to distinguish. When I click on the student recommendations, there’s a lot of text to read, so visual cues might help improve readability.	Chenyu's takeaway: Yeah, this could be an enhancement as well.
15	#15 User feedback: Being able to personalize the engagement strategies to specific students or groups of students will make this a more powerful tool for teachers. I didn't really see much of a value-added with the videos. They just looked like the static image without much additonal elaboration on the science concept.	Chenyu's takeaway: We need to clarify the goal and purpose of the videos. One tester thinks the video is supposed to explain science concepts, but that is not the goal of the Engage Agent. It is actually supposed to: 1. Inspire thinking 2. Engage with the students. We need to clarify this point a little bit. Prof. Zhai’s takeaway: we allow more options for teachers to generate say simulation / change the content of the videos / learning materials.
16	#16 User feedback: The recommendation stage displayed too much info, it takes teachers time to screen all students' performance levels. Also, the recommendation strategies are not alinged with the strategies based on the analysis of students' perofrmance levels.	Chenyu's takeaway: First of all, there are no performance levels for students based on our assessment. The goal is to see if there are any signals; we might factor in performance later, but for now, we are just trying to see if there are any signals.
17	#17 User feedback: As mentioned before, we may want to add more about the diagnosis or analysis part? But I'm not sure if teachers are interested with that. (and I may have bias since I'm developing this part so I'll intrinsically think it's important lol)	Chenyu's takeaway: TBD
18	#18 User feedback: Most critically, setting aside the quality of the images/videos (e.g., coherence, multimedia design), the generated content currently does not align with the intended engagement strategies. This should be refined further. The “Community Gallery” should also be reformatted so users can easily identify which lesson/topic each artifact was created for, including which ones they personally created. "Save" function is currently for each image/video. But, it should save the entire learning materials as one file, such as word, slides, html, etc.	Chenyu's takeaway: Regarding the save functionality, we have two options: saving either a single material or the entire set of learning materials. First, we need to clarify that we do not generate the learning materials themselves; it is just the images or the videos. If users want to save other types of content, I think the options need to be more granular. Alternatively, we could make this a complete data dump where we provide everything to the teachers, which could also be a valid approach. For the community gallery, we can certainly include the lesson topic. This is currently included if you click on the image in the zoomed version. Regarding the feedback that the generated content does not align with the intended engagement strategies: I do not think that is accurate. The image is basically an illustration of the experiment, so it does not tie to a specific strategy. At the very least, you cannot determine the strategy from the image alone.
19	#19 User feedback: as a teacher, i may wonder why one of the strategies is recommended. when multiple strategies are recommended, how could i personalize my teaching? Since there is no demo for student interface, i don't know how recommended learning materials benefit students.	Chenyu's takeaway: This is not a feature request; rather, we might need to think about the user experience here. We need to clarify that this material is for teachers to use in their class. Maybe we need to add a section for teachers regarding how they can use it. We need to manage the expectations of the videos.
20	#20 User feedback: There were soem problems in the videos. For example, in one video the downword arrow falls down with water droplets. Water droplets fall down very very quickly.	Chenyu's takeaway: The quality of the videos could be studied separately. There are different ways to measure video quality: Current state: We currently just animate the image. Future state: We can write scripts to generate better quality videos for sure.
21	#21 User feedback: The media generated is not always related to recommended strategy.	Chenyu's takeaway: TBD
22	#22 User feedback: No. I think the content generation are really good. Both the graphics and the text are highly relevant and correlated with each other.	Chenyu's takeaway: TBD
23	#23 User feedback: I hope the generated materials can be more aligned with the strategies, such as the cognitive conflict. I found that the materials generated are similar to the experience bridging.	Chenyu's takeaway: Based on the feedback, my primary takeaways are that we need to adjust how images and videos are generated and clarify the goals for how teachers can use these materials. Specifically regarding the video content: 1.  Current limitations Right now, we only generate six-second videos. This may not provide enough time for viewers to see the end results of the experiments. 2.  Potential adjustments If we offer longer videos, it might enable different use cases. We need to decide on the pedagogical approach: (a) Should we show only the start to make students think? (b) Should we show the end results and ask for their observations? There are several different approaches we can take here.
24	#24 User feedback: I got a warm-up activity called Noah's Rain. "From Noah’s rain, that pull acts on raindrops to guide them toward the surface." The content is a little bit confusing. Picture: some picture, the human face apprealing seems to improve. When the picture trasfer to video, the video may need some improvement. For example, the AI use rain as an example, and the student drink it, which is highly relate with the content.	Chenyu's takeaway: This feedback reminds me that for video generation, we cannot simply just animate the image. Maybe more guardrails are needed. This is great.
25	#25 User feedback: There were some grammar mistakes in the descriptions of the generated content.	Chenyu's takeaway: TBD
26	#26 User feedback: The output shows teachers should use the three-step materials, which is not very flexible.	Chenyu's takeaway: TBD
27	#27 User feedback: I'm a little bit confused about some of the materials generated. E.g. "experience bridging 1 Bridge to the Idea: Gravity as a Force Between Masses" this video, one lady is standing in a bridge and dropped a bottle...? What's it trying to express? I think some materials are just hard to interpret.	Chenyu's takeaway: I think more explanation is needed. Teachers also need to understand how they can use the content; that is my takeaway.
28	#28 User feedback: Same comment above. Plus, the "Student Recommendation" for individual students on the recommendation page should be reorganized for readability. Maybe, it's something that can be incorporated into teacher dashboard.	Chenyu's takeaway: TBD
29	#29 User feedback: i am curious about how student and teacher interact via the engage agent.	Chenyu's takeaway: TBD
30	#30 User feedback: The UI and the interaction had a good flow.	Chenyu's takeaway: TBD
31	#31 User feedback: Content generation function sometimes failed. Unable to produce the error consistently.	Chenyu's takeaway: Something we can do on our side is to have the retry logic implemented. If something fails, we need to have some logs implemented (to notify the team), but this is not urgent.
32	#32 User feedback: The explanation “From Noah’s rain, that pulls acts on raindrops to guide them toward the surface” feels a bit confusing and could be clarified to better explain the concept (likely gravity), not use "Noah's rain." The visuals are engaging, and the human face/avatar appearance seems weird sometimes. When transitioning from image to video, the video quality and coherence could be improved to make the storyline clearer. E.g. One image shows a student and rain, but the video contains a student drinking water. That is not relevant to the learning goal and content.	Chenyu's takeaway: This is the dupe. For the next step, we can try the difference between just animating the image versus showing more guided instructions.
33	#33 User feedback: There were a couple times where I wasn't sure where I was supposed to be clicking. Sometimes you click "next step" at the bottom of the page, but then you also had to click on other information before the "next step".	Chenyu's takeaway: Yes, I think this is valid. There are so many buttons on the screen and different sizes. I can streamline this as well.
34	#34 User feedback: No.	Chenyu's takeaway: TBD
35	#35 User feedback: I think we may need to consider more about how we generate those picture or videos. There are some confused videos like "experience bridging 0 Hook: Emma's Drop" in the gallery, and I'm really confused about that.	Chenyu's takeaway: TBD
36	#36 User feedback: There was no challenges while interacting with the agent.	Chenyu's takeaway: TBD
37	#37 User feedback: i would like to see how this recommended material improves students' engagement especially for students who are disengaged in traditional classroom (without this tool).	Chenyu's takeaway: This brings us to the last step: how do we measure whether the engagement is actually being improved or not?
38	#38 User feedback: An evaluation of students' responses can be added. This will save time for teacher to diagnose difficulties or misconceptions.	Chenyu's takeaway: TBD
39	#39 User feedback: teacher interactions, annotations, previous selections on strategies. This might help track teacher behavior and teacher strategies.	Chenyu's takeaway: TBD
40	#40 User feedback: Maybe show how the students feel about the material?	Chenyu's takeaway: TBD
41	#41 User feedback: Previous lessons created; Student progress	Chenyu's takeaway: TBD
42	#42 User feedback: Teacher dashboard is not very necessary for EngageAgent, since this is a teacher-facing agent.	Chenyu's takeaway: TBD
43	#43 User feedback: Detailed analysis process and results, with reasoning process or explainable texts as well.	Chenyu's takeaway: TBD
44	#44 User feedback: Everything that was originally included in previous version should be incorporated (e.g., student progress summary, analysis summary of tests, etc.). Additionally, teacher should be easily accessible to the community gallery on teacher dashboard as well.	Chenyu's takeaway: TBD
45	#45 User feedback: for now, i did not see the necessity and need for the chatbot.	Chenyu's takeaway: TBD
46	#46 User feedback: Possibly allowing teachers to chat with the agent to understand the strategy recommendation and possibly debate with the agent to come up with a more collaborated strategy.	Chenyu's takeaway: TBD
47	#47 User feedback: Perhaps not a bot but a feature can be that the teacher could update ad-hoc on the generated content or make modifications to the generated content.	Chenyu's takeaway: TBD
48	#48 User feedback: Currently, the function is not that complex. But in the future, if there are more complex functions, then maybe yes.	Chenyu's takeaway: TBD
49	#49 User feedback: I think a general help chatbot would be good. Mainly to help answer questions if teachers are confused about what to do next.	Chenyu's takeaway: TBD
50	#50 User feedback: It is good to have the chatbot, which can provide explanation and also interact with teachers to revise the output.	Chenyu's takeaway: Interact with teachers to revise the output is an advanced feature. Basically, we are giving the chatbot tools to change the generated contents directly. However, this feature might be hidden. If the teachers don't know the chatbot can do that, then it's a waste of developing time.
51	#51 User feedback: Well for me I don't think it's necessary.	Chenyu's takeaway: TBD
